PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
38811,"Fluometuron,w,gf<.7u","Fluometuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,40,HBSL
38866,"Oxamyl, w,gf<.7u","Oxamyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,50,MCL-CA
38933,"Chlorpyrifos, wf","Chlorpyrifos, water, filtered, recoverable, micrograms per liter",µg/L,2,HBSL
39175,"Vinyl chloride, wu","Vinyl chloride, water, unfiltered, recoverable, micrograms per liter",µg/L,0.5,MCL-CA
39180,"Trichloroethene, wu","Trichloroethene, water, unfiltered, recoverable, micrograms per liter",µg/L,5,MCL-US
39381,"Dieldrin, wf","Dieldrin, water, filtered, recoverable, micrograms per liter",µg/L,0.02,HBSL
39415,"Metolachlor, wf","Metolachlor, water, filtered, recoverable, micrograms per liter",µg/L,700,HBSL
39532,"Malathion, wf","Malathion, water, filtered, recoverable, micrograms per liter",µg/L,500,HBSL
39572,"Diazinon, wf","Diazinon, water, filtered, recoverable, micrograms per liter",µg/L,1,HBSL
39632,"Atrazine, wf","Atrazine, water, filtered, recoverable, micrograms per liter",µg/L,1,MCL-CA
39702,Hexachlorobutadiene,"Hexachlorobutadiene, water, unfiltered, recoverable, micrograms per liter",µg/L,90,HBSL
39732,"2,4-D, wf","2,4-D, water, filtered, recoverable, micrograms per liter",µg/L,70,MCL-US
46342,"Alachlor, wf","Alachlor, water, filtered, recoverable, micrograms per liter",µg/L,2,MCL-US
49235,"Triclopyr, w,gf<.7u","Triclopyr, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,400,HBSL
49236,"Propham, w,gf<.7u","Propham, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,100,HBSL
49260,"Acetochlor, wf","Acetochlor, water, filtered, recoverable, micrograms per liter",µg/L,10,HBSL
49291,"Picloram, w,gf<.7u","Picloram, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,500,MCL-US
49292,"Oryzalin, w,gf<.7u","Oryzalin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,400,HBSL
49293,"Norflurazon,w,gf<.7u","Norflurazon, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,10,HBSL
49296,"Methomyl, w,gf<.7u","Methomyl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,200,HBSL
49300,"Diuron, w,gf<.7u","Diuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,20,HBSL
49301,"Dinoseb, w,gf<.7u","Dinoseb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,7,MCL-US
49302,"Dichlorprop,w,gf<.7u","Dichlorprop, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,300,HBSL
49305,"Clopyralid, w,gf<.7u","Clopyralid, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,1000,HBSL
49306,"Chlorothalonil,gf<.7","Chlorothalonil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,15,RSD5
